experiment,model,model_clean,category,subject,accuracy,f1_macro
exp1_deep_raw_bilstm_attention_loso_isolated_v2,bilstm_attention,BiLSTM-Attn,Raw CNN/LSTM,DB2_s2,0.3635280095351609,0.31583728797318394
exp1_deep_raw_bilstm_attention_loso_isolated_v2,bilstm_attention,BiLSTM-Attn,Raw CNN/LSTM,DB2_s27,0.37210718635809986,0.35622601564124273
exp1_deep_raw_bilstm_attention_loso_isolated_v2,bilstm_attention,BiLSTM-Attn,Raw CNN/LSTM,DB2_s28,0.44505494505494503,0.41445125333965704
exp1_deep_raw_bilstm_attention_loso_isolated_v2,bilstm_attention,BiLSTM-Attn,Raw CNN/LSTM,DB2_s39,0.3170731707317073,0.30906215340184895
exp1_deep_raw_bilstm_attention_loso_isolated_v2,bilstm_attention,BiLSTM-Attn,Raw CNN/LSTM,DB2_s40,0.3625229638701776,0.3420487836973859
exp1_deep_raw_bilstm_attention_loso_isolated_v2,bilstm_attention,BiLSTM-Attn,Raw CNN/LSTM,DB2_s12,0.27824019024970276,0.2647530592297741
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s38,0.09945088468578402,0.029390409319396793
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s5,0.14770696843359143,0.07571276795296014
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s30,0.20557913887204365,0.11135043471123893
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s11,0.3404761904761905,0.31187526797695203
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s36,0.37713936430317846,0.34841541426763434
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s1,0.17419738406658739,0.09932799187827683
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s26,0.2633846153846154,0.25052278250954
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s3,0.24417910447761193,0.2491447413151502
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s29,0.14981729598051158,0.05236196441370607
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s14,0.09982174688057041,0.01815235008103728
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s37,0.09096496619545175,0.046833385565413034
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s4,0.3098927294398093,0.29103415814573286
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s13,0.19928613920285546,0.11056022610112053
exp1_deep_raw_bilstm_loso_isolated_v2,bilstm,BiLSTM,Raw CNN/LSTM,DB2_s15,0.12916666666666668,0.09988963423991205
